date,key,name,AM,PM,ISCS
2020-02-23 0:00,93,북춘천,결빙 서리,결빙 서리,
2020-02-24 0:00,93,북춘천,서리 결빙,햇무리,は1515-1725.
2020-02-26 0:00,93,북춘천,서리 결빙,ぁ,ぁ1720-ぁゎ1800-ぁゎ2100-2250.
2020-02-27 0:00,93,북춘천,박무 서리,서리,こ0150-0250.
2020-02-28 0:00,93,북춘천,서리 결빙 ぁ,진눈깨비 ぁ 박무 안개비,ぁ1155-ぁゎ1200-う1210-ぁ1240-ぁゎ1500-ぁゎ1800-ぁゎ2100-あ2120-2325. こ1320-こゎ1500-こゎ1800-こゎ2100-こわ2400-
2020-03-01 0:00,93,북춘천,서리 박무 결빙,박무 ぁ,こ0610-こゎ0900-1050. こ1850-こゎ2100-こゎ2400- ぁ1955-ぁゎ2100-ぁゎ2400-
2020-03-02 0:00,93,북춘천,ぁ 박무,노을 서리 결빙,-ぁ-0220. -こ-0230.
2020-03-03 0:00,93,북춘천,서리 결빙 박무,,こ0750-0850.
2020-03-05 0:00,93,북춘천,박무 결빙 서리,서리 결빙,こ0130-こゎ0300-こわ0600-0845.
2020-03-06 0:00,93,북춘천,서리 결빙 노을,서리 결빙,
2020-03-07 0:00,93,북춘천,서리 결빙,서리,
2020-03-08 0:00,93,북춘천,서리 결빙,,
2020-03-09 0:00,93,북춘천,박무 서리,,こ0535-こゎ0600-0740.
2020-03-11 0:00,93,북춘천,서리 결빙,노을 서리,
2020-03-12 0:00,93,북춘천,서리 결빙 노을,,
2020-03-13 0:00,93,북춘천,박무 이슬,결빙 서리,こ0330-こゎ0600-0610.
2020-03-14 0:00,93,북춘천,서리 결빙,연무,て2345-てゎ2400-
2020-03-15 0:00,93,북춘천,연무 서리 결빙 박무 눈,눈 서리,-て-0050. こ0840-こゎ0900-0905. ぅ0845-ぅゎ0900-0910. ぅ1950-2045.
2020-03-16 0:00,93,북춘천,서리 결빙,,
2020-03-19 0:00,93,북춘천,이슬 서리 결빙 ぁ 연무,연무 ぁ,ぁ0802-0813. ぁ0910-0950. て0955-てゎ1200-1215. ぁ1155-ぁゎ1200-ぁゎ1500-1530.
2020-03-20 0:00,93,북춘천,서리 결빙 노을,,
2020-03-23 0:00,93,북춘천,서리 결빙,,
2020-03-24 0:00,93,북춘천,서리 결빙,,
2020-03-28 0:00,93,북춘천,서리 노을 햇무리,햇무리 노을,は0750-1730.
2020-03-29 0:00,93,북춘천,서리 결빙 노을,,
2020-03-30 0:00,93,북춘천,서리 결빙,,
2020-03-31 0:00,93,북춘천,서리 결빙,,
2020-04-03 0:00,93,북춘천,서리 결빙,노을,
2020-04-05 0:00,93,북춘천,서리 결빙 노을,노을,
2020-04-06 0:00,93,북춘천,서리 결빙 노을,달무리,ば2150-
2020-04-08 0:00,93,북춘천,연무 서리 노을 결빙,노을,-て-0050.
2020-04-09 0:00,93,북춘천,서리 결빙,노을,
2020-04-13 0:00,93,북춘천,서리 노을,노을,
2020-04-14 0:00,93,북춘천,노을 서리 결빙,노을,
2020-04-15 0:00,93,북춘천,노을 서리 결빙,노을,
2020-04-23 0:00,93,북춘천,서리 결빙 노을,,
2020-04-24 0:00,93,북춘천,서리 결빙,,
2020-10-15 0:00,93,북춘천,이슬 노을 서리,이슬,
2020-10-18 0:00,93,북춘천,이슬 서리 박무 안개,이슬 박무,こ0430-こわ0600-よりぐ0625-らりこ0730-こゎ0900-1050. こ2340-こゎ2400-
2020-10-23 0:00,93,북춘천,노을 서리 결빙,노을 서리,
2020-10-24 0:00,93,북춘천,서리 결빙,서리,
2020-10-25 0:00,93,북춘천,서리 결빙,이슬,
2020-10-26 0:00,93,북춘천,이슬 노을 서리 결빙,이슬,
2020-10-29 0:00,93,북춘천,서리 결빙,,
2020-10-30 0:00,93,북춘천,서리 결빙 노을,,
2020-10-31 0:00,93,북춘천,서리 노을 이슬,노을,
2020-11-03 0:00,93,북춘천,노을,서리 결빙,
2020-11-04 0:00,93,북춘천,서리 결빙,노을 결빙,
2020-11-05 0:00,93,북춘천,결빙 서리,,
2020-11-09 0:00,93,북춘천,서리 결빙,,
2020-11-10 0:00,93,북춘천,서리 결빙,서리 결빙,
2020-11-11 0:00,93,북춘천,서리 결빙,서리,
2020-11-12 0:00,93,북춘천,서리 결빙,노을 박무,こ2340-こゎ2400-
2020-11-14 0:00,93,북춘천,이슬 박무 서리 결빙 안개,,こ0230-こゎ0300-こわ0600-よりぐ0750-よるぐ0805-らるぐ0850-らりこ0855-こゐ0900-1145.
2020-11-15 0:00,93,북춘천,이슬 서리 결빙 노을 박무,연무 박무 이슬,こ0654-こゎ0900-0950. て1750-てゎ1800-1855. こ1850-こわ2100-こゐ2400-
2020-11-21 0:00,93,북춘천,서리 결빙,ぁ,ぁ2250-ぁゎ2400-
2020-11-23 0:00,93,북춘천,결빙 서리,노을 서리 결빙,
2020-11-24 0:00,93,북춘천,서리 결빙,서리 결빙,
2020-11-25 0:00,93,북춘천,서리 결빙,서리 결빙,
2020-11-26 0:00,93,북춘천,서리 결빙 박무,서리 결빙,こ0330-こゎ0600-こわ0900-1150.
2020-11-27 0:00,93,북춘천,서리 결빙 박무,서리 결빙,こ0435-こゎ0600-こゎ0900-1050.
2020-11-28 0:00,93,북춘천,서리 결빙,노을 결빙,
2020-11-29 0:00,93,북춘천,결빙 서리,노을 결빙 서리,
2020-11-30 0:00,93,북춘천,서리 결빙,서리 결빙,
2020-12-01 0:00,93,북춘천,서리 결빙 노을,결빙 서리,
2020-12-02 0:00,93,북춘천,서리 결빙,서리 결빙,
2020-12-03 0:00,93,북춘천,서리 결빙,결빙 서리,
2020-12-04 0:00,93,북춘천,서리 결빙,서리 결빙,
2020-12-05 0:00,93,북춘천,서리 결빙,서리 결빙,
